address,microstx
13FeyEhaenYegZt4QT2jXJpGhBbAZ243hf,42882125000
13GTKnGWrqnwpTTCRLjxo5fwYKWGXPrhKq,138888889
13GkZAr5r2Vg9Xbevku4ZJoZpYKatTTLYn,211469445
13GpkYecry1FGcMxQGaqxFHHbRkreaAUhA,1041866667
13H7iXRFRTQTgLnTi4SrTK4wzdTnZcaGES,28078841668
13HRjgtLXGjmdMpVis887t1gWBPTppHHon,69444445
13JHtYTzn3iJMHf52ur6f4m4hKq2YdaV1w,0
13JJbNramp2fpLh1uoC1U2Svewy27nRLWt,4166666667
13JWFX8hrwaX1qqLpu9g2ZqeSNT7vUx5mK,104070834
13JY7SrjpEG6pWgMv1BEtHg1dYMWzPhaRg,138129167
13Js2JJsxiTbzV49HFjNZRCXRExbyEzW5Z,34722223
13KfiUZCLgbRJ9sGmuVVaTasVz7GZki4cn,6945
13L3jJs64tQep7jXZZwxrsn1SqMfthv2Tz,416666667
13Mfd85P2xwvsyrfWLK97a4Bed71C1gHKh,138888889
13Mkch7Ae8Se7cboBn9kzCwrEDtSczFVBx,712069445
13N1fz6yvik34Hzej23aPpMXVtovySLEmU,1044715278
13N54tW84yNJWS4FS4hWSjeMUnFhdaimHG,1041666667
13NFeaKnPL7jLrrXvEPMWBFKDm94Wy6BXN,245818056
13NGzmBu9Mx1o4TvnwLzx1CQG7Np3g38vN,416666667
13NeehSBxkfHXcZ12wJGQdFQgLahvt7vuq,1125000000
13NgxBkdNe2prsLyJbeK4AQAEkK6yCJwyw,138888889
13Ni3NriJjiwYQqi7p8jA3aAfs5zPLvVAS,35861041671
13NqMJx2h6KXptYQV3BKMUWLYVaDatPnCn,558791667
13PWtGeYdG3RGWYVDcfpfsBfRjpwfu4tkP,13668958337
13PYmFSm4JuNKX2CgnTjjczocYtn3A8Lhc,22218000000
13PgXQUnnxqdq7AkhtEYNaVP6fmoQBiGfJ,46151389
13PiaWNWgvJhDxNSKH5F4VLB7rZVq6XirD,138888889
13PzPuXcMkthVm71gYUMquscnNUxTK9Pz6,7236222223
13Q6bgqgvmnDVNJ9GVUpAuYLfKCG919fR7,62844445
13QVdoicEGPcd8MPNvG2FrajbjBiPKXzQP,100729167
13RBKcjT8iGZPrWNwFPzHq6W6PWFaww8cP,1041765278
13RRxfBoPtmhzE3iRYcGTSyRU2NYAXvy15,138888889
13RWWTm7fERZqfKtoNzv67wsdqdK3fFMn9,237889445
13RZ7vC4yssDsw5xwbdA8Yrr5pDhGdnFgu,96527778
13RmHsuVrBNNwKwg5HEB4mLLBRAWm1Jigh,27966667
13SDdYranb7j73fiPdXoncVtLeNh57Ln2c,695720834
13SJwU2QCRUXGr6FVf88gDLfrV2qEQ7NZy,1044661112
13SMiAGp6txta69Y3ZeczbjSnV3Kax6W8v,5556
13SssmnV2RFK1BpyeVE7gik85smvdVLgrD,392000000
13SsuesoifVKfsEYswKa1cbhtnDMUo6Kw3,589000000
13TDSnAnCoJ8ruEUkZvY5o1YSNJL3QQvbJ,18055375000
13TJn86RBEVAVXgdTowXRmYU2jmz8de3Mo,93906945
13TTrPbcHoGUjK6VJ9NmfoY7jRjmPbk1Um,45034708337
13UKeGYxZZBfZQr1hqoSfnFdX8WPqL9exD,520833334
13UrRAEBRxjDippRFi99EyiHPWmdgrC5Zj,14329167
13V6ttMuLUpmWMZbm8yjv9RHQ6ysuPSzwX,275697223
13VMnJU7QcCGxis86W9RjktBkdTD3wBGvG,13888889
13VUoxxio9tLsbJUdkwdSjZ2MPvFLbLb3r,82165279
13VpcZbEjEYA7VFMpbiLfqaveiBviDt8Jo,471701208337
13VxKKR5Qa87gKyduqHBFogizF4Jf7XRdo,125000000
